sebum_level,hydration_level,ph_level,skin_temperature,pore_size,oil_shine,wrinkle_score,roughness_score,elasticity_score,sensitivity_score,redness_level,itchiness_score,pigmentation_level,dark_spot_score,uneven_tone_score,acne_frequency,blackhead_score,whitehead_score,tightness_score,flakiness_score,sun_exposure_hours,pollution_exposure_index,water_intake_liters,sleep_hours,skin_type
66.8,33.99,5.51,34.66,7.58,2.26,0.7,4.0,60.61,1.96,1.19,1.55,9.27,6.98,9.48,5.1,3.11,1.43,0.31,1.64,0.68,38.4,3.25,7.34,Normal
72.77,23.41,6.44,34.48,7.44,7.14,6.75,5.32,52.23,5.12,1.17,2.88,1.22,7.38,6.07,3.35,0.62,1.6,1.76,9.38,4.48,96.17,4.02,8.75,Normal
13.13,33.21,4.6,32.46,4.75,1.76,3.22,6.24,80.74,4.51,3.0,8.57,9.44,6.01,1.98,7.19,2.52,7.68,5.88,6.9,4.28,84.61,1.6,5.38,Sensitive
28.87,15.49,4.39,34.17,2.98,8.69,2.22,5.47,29.76,9.89,9.95,6.17,2.72,7.14,9.39,0.12,8.98,7.94,2.1,2.95,7.31,91.74,4.72,5.71,Sensitive
85.38,87.71,6.16,30.19,7.97,8.98,3.5,2.85,24.45,9.82,7.95,9.27,8.95,9.16,3.61,6.45,7.04,2.26,4.17,5.71,6.65,29.06,3.36,3.21,Oily
101.73,23.32,4.91,31.49,4.62,4.95,2.41,4.38,20.91,0.93,2.56,2.92,6.29,1.17,5.34,9.87,8.42,1.51,7.63,0.6,8.35,39.02,3.05,4.64,Normal
43.77,88.62,6.98,34.53,7.9,8.43,8.64,5.15,79.32,1.38,7.71,1.67,7.32,1.88,6.23,0.24,8.29,0.7,9.07,4.65,6.13,33.19,4.39,3.6,Sensitive
108.3,53.87,4.62,33.31,9.29,4.37,2.3,0.06,80.8,1.23,0.92,1.6,0.01,9.42,3.61,5.47,1.67,4.02,8.24,6.87,2.15,98.31,2.41,3.23,Normal
89.37,28.96,6.02,31.78,1.61,4.68,7.2,2.25,20.69,5.07,6.27,4.32,4.34,8.56,1.32,4.76,6.29,2.17,0.76,4.88,0.57,20.12,3.9,4.59,Sensitive
30.89,21.99,6.74,30.16,5.23,2.61,4.84,9.99,33.92,5.06,2.0,2.53,3.1,5.02,6.26,8.54,2.77,1.25,6.67,0.94,8.23,91.79,4.24,7.35,Normal
70.97,20.09,6.74,30.43,5.32,4.77,3.72,3.72,36.87,7.61,2.58,1.98,9.31,8.7,7.93,5.07,3.77,1.32,0.87,8.49,5.21,26.08,4.75,7.93,Sensitive
48.73,27.98,5.82,33.48,1.06,6.84,5.31,1.11,78.91,1.38,6.25,7.85,2.99,0.31,5.28,9.18,6.75,8.94,2.6,3.56,3.99,5.63,2.04,4.13,Sensitive
30.01,32.65,5.12,30.26,9.73,6.29,0.45,3.25,48.26,0.29,7.84,9.7,6.01,9.78,1.4,8.95,5.82,1.96,5.04,6.85,3.73,28.87,1.51,5.41,Sensitive
96.42,75.01,7.42,34.28,3.17,5.86,2.89,7.15,89.88,2.19,9.0,2.51,5.95,3.87,7.23,4.58,0.76,7.3,2.47,6.63,3.86,38.84,1.11,8.95,Combination
116.2,63.72,4.86,33.88,8.14,1.8,4.18,2.71,74.71,7.76,1.59,5.17,2.46,6.63,0.31,1.74,7.9,8.42,4.55,0.78,5.0,45.61,1.58,7.64,Combination
35.56,73.34,5.86,33.92,2.86,8.23,4.5,0.67,31.18,5.0,8.97,3.98,4.55,8.73,5.02,1.48,0.46,2.49,2.77,6.82,7.88,21.47,2.34,3.79,Sensitive
19.19,89.05,4.29,36.37,2.25,7.72,7.68,8.43,75.03,2.76,0.51,7.87,5.15,4.83,1.82,3.53,8.25,1.95,1.86,8.75,7.92,50.23,3.86,6.52,Sensitive
76.39,57.27,4.32,31.58,2.24,9.41,8.33,2.44,36.92,8.58,1.26,8.98,9.33,2.4,7.34,9.95,3.66,4.6,1.75,6.98,2.28,87.46,1.39,7.66,Oily
90.19,67.72,7.11,32.94,4.93,0.01,6.6,4.72,78.07,1.74,6.43,7.12,7.92,6.41,1.99,4.29,6.59,8.23,0.75,6.27,2.04,44.06,4.28,7.88,Combination
40.39,36.9,5.1,34.11,4.07,6.17,8.86,1.9,80.23,7.07,8.97,0.49,5.8,2.8,3.61,9.49,9.48,5.75,8.12,6.19,2.04,82.34,4.96,3.77,Sensitive
85.38,40.11,5.23,35.16,2.86,2.18,8.69,8.42,30.54,3.14,1.31,7.16,7.85,7.58,0.09,9.02,9.01,4.13,2.93,1.01,1.74,32.64,4.53,8.11,Sensitive
66.97,67.6,5.68,35.12,1.46,8.77,1.3,2.87,56.33,3.82,1.69,9.94,8.57,2.83,5.27,1.49,3.66,6.52,8.11,6.3,5.26,34.37,1.81,3.66,Combination
